Topology,Component,ExecuteLatency,Capacity
ingestion-427-1583104081,$spoutcoord-spout-content-ingestion,27.316,0.089
trivia-430-1583364202,$spoutcoord-spout-trivia-stream,29.013,0.087
events-426-1583098999,b-9-type-status_overview,0.011,0.000
non-trivia-431-1583364203,b-2-credits-payload-processor,0.019,0.000
litzscore-428-1583358064,spout-litzscore-matches,4570.316,0.000
tips-399-1582214731,spout-swellActions,5.102,0.054
announce-432-1587274337,b-2-announce-user-timezone-to-recipients,0.021,0.000
ingestion-427-1583104081,$spoutcoord-spout-content-ingestion,27.316,0.064
trivia-430-1583364202,$spoutcoord-spout-trivia-stream,29.013,0.087
events-426-1583098999,b-9-type-status_overview,0.011,0.000
non-trivia-431-1583364203,b-2-credits-payload-processor,0.019,0.000
litzscore-428-1583358064,spout-litzscore-matches,4570.316,0.000
tips-399-1582214731,spout-swellActions,5.102,0.061
announce-432-1587274337,b-2-announce-user-timezone-to-recipients,0.021,0.000
ingestion-427-1583104081,$spoutcoord-spout-content-ingestion,27.315,0.061
trivia-430-1583364202,$spoutcoord-spout-trivia-stream,29.012,0.085
events-426-1583098999,b-9-type-status_overview,0.011,0.000
non-trivia-431-1583364203,b-2-credits-payload-processor,0.019,0.000
litzscore-428-1583358064,spout-litzscore-matches,4570.316,0.000
tips-399-1582214731,spout-swellActions,5.102,0.066
announce-432-1587274337,b-2-announce-user-timezone-to-recipients,0.021,0.000
ingestion-427-1583104081,$spoutcoord-spout-content-ingestion,27.316,0.072
trivia-430-1583364202,$spoutcoord-spout-trivia-stream,29.011,0.061
events-426-1583098999,b-9-type-status_overview,0.011,0.000
non-trivia-431-1583364203,b-2-credits-payload-processor,0.019,0.000
litzscore-428-1583358064,spout-litzscore-matches,4570.011,0.000
tips-399-1582214731,spout-swellActions,5.102,0.066
announce-432-1587274337,b-2-announce-user-timezone-to-recipients,0.021,0.000
ingestion-427-1583104081,$spoutcoord-spout-content-ingestion,27.315,0.072
trivia-430-1583364202,$spoutcoord-spout-trivia-stream,29.011,0.060
events-426-1583098999,b-9-type-status_overview,0.011,0.000
non-trivia-431-1583364203,b-2-credits-payload-processor,0.019,0.000
litzscore-428-1583358064,spout-litzscore-matches,4570.011,0.000
tips-399-1582214731,spout-swellActions,5.103,0.086
announce-432-1587274337,b-2-announce-user-timezone-to-recipients,0.021,0.000
ingestion-427-1583104081,$spoutcoord-spout-content-ingestion,27.314,0.063
trivia-430-1583364202,$spoutcoord-spout-trivia-stream,29.010,0.048
events-426-1583098999,b-9-type-status_overview,0.011,0.000
non-trivia-431-1583364203,b-2-credits-payload-processor,0.019,0.000
litzscore-428-1583358064,spout-litzscore-matches,4569.858,0.000
tips-399-1582214731,spout-swellActions,5.102,0.076
announce-432-1587274337,b-2-announce-user-timezone-to-recipients,0.021,0.000
